p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,method,referee,winner,event_date,p1_SIG_STR_LANDED,p1_SIG_STR_ATTEMPTED,p2_SIG_STR_LANDED,p2_SIG_STR_ATTEMPTED,p1_TOTAL_STR_LANDED,p1_TOTAL_STR_ATTEMPTED,p2_TOTAL_STR_LANDED,p2_TOTAL_STR_ATTEMPTED,p1_TD_LANDED,p1_TD_ATTEMPTED,p2_TD_LANDED,p2_TD_ATTEMPTED,p1_R1_SIG_STR_LANDED,p1_R1_SIG_STR_ATTEMPTED,p2_R1_SIG_STR_LANDED,p2_R1_SIG_STR_ATTEMPTED,p1_R1_TOTAL_STR_LANDED,p1_R1_TOTAL_STR_ATTEMPTED,p2_R1_TOTAL_STR_LANDED,p2_R1_TOTAL_STR_ATTEMPTED,p1_R1_TD_LANDED,p1_R1_TD_ATTEMPTED,p2_R1_TD_LANDED,p2_R1_TD_ATTEMPTED,p1_HEAD_LANDED,p1_HEAD_ATTEMPTED,p2_HEAD_LANDED,p2_HEAD_ATTEMPTED,p1_BODY_LANDED,p1_BODY_ATTEMPTED,p2_BODY_LANDED,p2_BODY_ATTEMPTED,p1_LEG_LANDED,p1_LEG_ATTEMPTED,p2_LEG_LANDED,p2_LEG_ATTEMPTED,p1_DISTANCE_LANDED,p1_DISTANCE_ATTEMPTED,p2_DISTANCE_LANDED,p2_DISTANCE_ATTEMPTED,p1_CLINCH_LANDED,p1_CLINCH_ATTEMPTED,p2_CLINCH_LANDED,p2_CLINCH_ATTEMPTED,p1_GROUND_LANDED,p1_GROUND_ATTEMPTED,p2_GROUND_LANDED,p2_GROUND_ATTEMPTED,p1_R1_HEAD_LANDED,p1_R1_HEAD_ATTEMPTED,p2_R1_HEAD_LANDED,p2_R1_HEAD_ATTEMPTED,p1_R1_BODY_LANDED,p1_R1_BODY_ATTEMPTED,p2_R1_BODY_LANDED,p2_R1_BODY_ATTEMPTED,p1_R1_LEG_LANDED,p1_R1_LEG_ATTEMPTED,p2_R1_LEG_LANDED,p2_R1_LEG_ATTEMPTED,p1_R1_DISTANCE_LANDED,p1_R1_DISTANCE_ATTEMPTED,p2_R1_DISTANCE_LANDED,p2_R1_DISTANCE_ATTEMPTED,p1_R1_CLINCH_LANDED,p1_R1_CLINCH_ATTEMPTED,p2_R1_CLINCH_LANDED,p2_R1_CLINCH_ATTEMPTED,p1_R1_GROUND_LANDED,p1_R1_GROUND_ATTEMPTED,p2_R1_GROUND_LANDED,p2_R1_GROUND_ATTEMPTED,p1_height,p1_weight,p1_reach,p1_stance,p1_dob,p1_SLpM,p1_Str. Acc.,p1_SApM,p1_Str. Def,p1_TD Avg.,p1_TD Acc.,p1_TD Def.,p1_Sub. Avg.,p2_height,p2_weight,p2_reach,p2_stance,p2_dob,p2_SLpM,p2_Str. Acc.,p2_SApM,p2_Str. Def,p2_TD Avg.,p2_TD Acc.,p2_TD Def.,p2_Sub. Avg.
Dave Strasser,Romie Aram,0,1,0.48,0.34,0.5,0.5,0,0,0,0,284,294,0,1,0.6,0.47,0.5,0.5,0,0,0,0,102,163,0.48,0.34,0.6,0.47,Decision - Unanimous,Jorge Alonso,1,2003-04-25,60,125,24,70,107,176,78,125,1,2,2,4,20,33,8,17,28,41,40,50,1,2,1,2,46,105,21,67,12,18,1,1,2,2,2,2,22,56,10,38,14,34,11,26,24,35,3,6,19,31,8,17,1,2,0,0,0,0,0,0,2,4,1,2,2,6,4,9,16,23,3,6,70.0,170.0,,Orthodox,1969-07-13,3.04,0.45,1.88,0.59,0.72,0.33,0.33,0.0,70.0,170.0,,Orthodox,1977-12-02,1.80,0.35,2.83,0.5,2.50,0.62,0.83,0.0
Wesley Correira,Sean Alvarez,0,0,0.52,0.37,,0.0,0,0,0,0,13,197,0,0,0.5,0.5,,0.0,0,0,0,0,8,147,0.52,0.37,0.5,0.5,KO/TKO,John McCarthy,1,2003-04-25,22,42,6,16,75,95,16,26,0,0,0,9,8,16,5,10,40,48,12,17,0,0,0,7,21,41,1,8,1,1,0,1,0,0,5,7,3,11,5,10,19,31,1,6,0,0,0,0,7,15,1,4,1,1,0,0,0,0,4,6,3,9,4,8,5,7,1,2,0,0,0,0,75.0,260.0,,Orthodox,1978-11-11,2.60,0.36,8.80,0.4,0.00,0.0,0.9,0.0,72.0,235.0,,Orthodox,1971-07-14,0.89,0.37,3.25,0.47,0.00,0.0,0.0,0.0
Rich Franklin,Evan Tanner,1,0,0.42,0.42,,,0,0,0,0,2,0,1,0,0.42,0.42,,,0,0,0,0,2,0,0.42,0.42,0.42,0.42,KO/TKO,Larry Landless,1,2003-04-25,16,38,6,14,16,38,6,14,0,0,0,0,16,38,6,14,16,38,6,14,0,0,0,0,13,34,0,5,1,1,5,8,2,3,1,1,16,38,4,12,0,0,2,2,0,0,0,0,13,34,0,5,1,1,5,8,2,3,1,1,16,38,4,12,0,0,2,2,0,0,0,0,73.0,185.0,76.0,Southpaw,1974-10-05,4.10,0.44,2.07,0.62,1.31,0.66,0.63,0.7,72.0,185.0,74.0,Orthodox,1971-02-11,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3
Duane Ludwig,Genki Sudo,0,0,0.66,0.38,,0.5,0,0,0,0,247,409,0,0,0.9,0.26,,1.0,0,0,0,0,47,196,0.66,0.38,0.9,0.26,Decision - Unanimous,John McCarthy,1,2003-04-25,38,57,24,63,73,101,52,96,0,0,3,6,9,10,4,15,13,14,8,19,0,0,1,1,13,29,13,44,22,25,3,8,3,3,8,11,12,24,11,25,10,11,0,0,16,22,13,38,2,2,3,11,7,8,0,3,0,0,1,1,0,0,1,6,6,7,0,0,3,3,3,9,70.0,170.0,70.0,Orthodox,1978-08-04,4.62,0.44,3.05,0.57,0.43,0.25,0.59,0.1,69.0,155.0,,Orthodox,1978-03-08,1.55,0.39,2.23,0.33,3.58,0.6,0.5,4.2
Hermes Franca,Richard Crunkilton,1,0,0.5,0.32,0.18,0.57,9,0,0,0,43,441,0,0,0.42,0.25,0.16,0.5,3,0,0,0,9,116,0.5,0.32,0.42,0.25,Decision - Unanimous,James Warring,1,2003-04-25,27,54,29,89,97,125,77,148,2,11,4,7,8,19,11,44,8,19,21,59,1,6,1,2,20,47,22,78,4,4,2,4,3,3,5,7,20,43,16,61,7,10,1,6,0,1,12,22,5,16,9,39,3,3,1,3,0,0,1,2,6,16,6,32,2,3,1,4,0,0,4,8,66.0,155.0,71.0,Orthodox,1974-08-26,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,67.0,155.0,,Orthodox,1979-11-25,1.72,0.41,1.45,0.58,4.08,0.61,0.65,1.3
David Loiseau,Mark Weir,0,0,0.8,1.0,0.5,,0,0,0,0,212,0,0,0,0.8,1.0,0.5,,0,0,0,0,212,0,0.8,1.0,0.8,1.0,KO/TKO,John McCarthy,1,2003-04-25,16,20,2,2,19,24,12,12,1,2,0,0,16,20,2,2,19,24,12,12,1,2,0,0,15,19,0,0,0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,1,15,19,0,0,15,19,0,0,0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,1,15,19,0,0,72.0,185.0,76.0,Orthodox,1979-12-17,1.59,0.44,3.64,0.43,0.43,0.42,0.36,0.1,74.0,185.0,,Southpaw,1967-09-19,1.54,0.56,2.50,0.38,0.80,0.5,0.25,2.4
Tim Sylvia,Ricco Rodriguez,1,0,0.48,0.7,,0.0,0,1,0,0,78,0,1,0,0.48,0.7,,0.0,0,1,0,0,78,0,0.48,0.7,0.48,0.7,KO/TKO,John McCarthy,1,2003-02-28,12,25,7,10,15,28,10,13,0,0,0,2,12,25,7,10,15,28,10,13,0,0,0,2,10,23,4,7,1,1,1,1,1,1,2,2,7,18,6,9,0,0,1,1,5,7,0,0,10,23,4,7,1,1,1,1,1,1,2,2,7,18,6,9,0,0,1,1,5,7,0,0,80.0,265.0,80.0,Orthodox,1976-03-05,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,76.0,265.0,,Orthodox,1977-08-19,1.85,0.51,1.15,0.61,2.30,0.39,0.4,1.0
Frank Mir,David Abbott,0,0,0.0,0.2,0.0,,2,0,0,0,0,38,0,0,0.0,0.2,0.0,,2,0,0,0,0,38,0.0,0.2,0.0,0.2,Submission,Larry Landless,1,2003-02-28,0,1,1,5,0,1,2,6,0,2,0,0,0,1,1,5,0,1,2,6,0,2,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,75.0,264.0,79.0,Southpaw,1979-05-24,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,72.0,265.0,,Switch,1965-04-26,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0
BJ Penn,Caol Uno,0,0,0.72,0.65,0.62,0.85,0,1,0,2,430,447,0,0,0.8,0.69,0.66,1.0,0,0,0,0,194,39,0.72,0.65,0.8,0.69,Decision - Split,John McCarthy,0,2003-02-28,67,93,64,97,111,137,105,138,5,8,6,7,21,26,9,13,40,45,22,26,2,3,1,1,44,69,19,43,21,21,12,16,2,3,33,38,24,43,34,60,17,19,14,15,26,31,16,22,13,18,2,5,8,8,3,4,0,0,4,4,2,5,4,7,2,2,4,4,17,19,1,2,69.0,155.0,70.0,Orthodox,1978-12-13,2.76,0.48,3.20,0.56,1.19,0.55,0.74,0.5,67.0,155.0,70.0,Southpaw,1975-05-08,1.91,0.49,1.90,0.5,1.95,0.31,0.37,0.5
Matt Lindland,Phil Baroni,0,0,0.52,0.6,0.3,0.5,2,0,1,0,612,48,0,0,0.76,0.9,0.6,,0,0,0,0,270,6,0.52,0.6,0.76,0.9,Decision - Unanimous,John McCarthy,1,2003-02-28,40,76,44,73,180,230,83,113,4,13,1,2,13,17,10,11,69,81,35,37,3,5,0,0,31,67,15,44,8,8,29,29,1,1,0,0,5,27,5,20,11,19,22,34,24,30,17,19,9,13,6,7,3,3,4,4,1,1,0,0,0,1,0,1,5,6,10,10,8,10,0,0,72.0,185.0,74.0,Southpaw,1970-05-17,2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3,69.0,170.0,72.0,Orthodox,1976-04-16,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5
Vladimir Matyushenko,Pedro Rizzo,0,0,0.63,0.32,0.26,0.0,0,0,0,0,434,79,0,0,0.66,0.25,0.33,0.0,0,0,0,0,220,1,0.63,0.32,0.66,0.25,Decision - Unanimous,Larry Landless,1,2003-02-28,24,38,12,37,94,113,29,54,5,19,0,3,8,12,1,4,38,44,4,7,2,6,0,1,17,29,6,31,1,2,1,1,6,7,5,5,11,25,10,35,3,3,2,2,10,10,0,0,6,9,1,4,0,1,0,0,2,2,0,0,2,6,1,4,0,0,0,0,6,6,0,0,72.0,205.0,74.0,Orthodox,1971-01-04,1.90,0.44,1.62,0.59,3.25,0.46,0.7,0.1,73.0,241.0,,Orthodox,1974-05-03,1.93,0.34,3.02,0.5,0.26,0.28,0.78,0.0
Din Thomas,Matt Serra,0,0,0.47,0.32,,0.03,0,0,0,0,105,86,0,0,0.42,0.51,,0.0,0,0,0,0,9,43,0.47,0.32,0.42,0.51,Decision - Split,Larry Landless,1,2003-02-28,29,61,26,81,59,92,42,97,0,0,1,28,8,19,17,33,25,36,28,44,0,0,0,6,18,49,5,60,6,7,15,15,5,5,6,6,22,54,9,62,7,7,17,19,0,0,0,0,4,14,1,17,2,3,12,12,2,2,4,4,5,16,3,19,3,3,14,14,0,0,0,0,69.0,155.0,,Orthodox,1976-09-28,1.85,0.37,2.60,0.59,1.38,0.52,0.76,1.2,66.0,170.0,68.0,Orthodox,1974-06-02,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
Gan McGee,Alexandre Dantas,0,0,0.39,0.25,,0.0,0,1,0,0,83,116,0,0,0.39,0.25,,0.0,0,1,0,0,83,116,0.39,0.25,0.39,0.25,KO/TKO,John McCarthy,1,2003-02-28,9,23,1,4,13,28,1,4,0,0,0,7,9,23,1,4,13,28,1,4,0,0,0,7,9,23,0,3,0,0,0,0,0,0,1,1,1,10,0,3,0,0,1,1,8,13,0,0,9,23,0,3,0,0,0,0,0,0,1,1,1,10,0,3,0,0,1,1,8,13,0,0,82.0,265.0,,Orthodox,1976-11-20,2.20,0.29,2.31,0.59,0.65,0.25,0.83,0.0,74.0,238.0,,Orthodox,1979-03-01,0.21,0.25,1.87,0.6,0.00,0.0,0.0,3.1
Yves Edwards,Rich Clementi,1,0,0.53,0.48,,0.25,1,0,0,0,212,207,1,0,0.58,0.59,,0.0,0,0,0,0,23,75,0.53,0.48,0.58,0.59,Submission,Larry Landless,1,2003-02-28,51,96,31,64,79,129,59,95,0,0,2,8,28,48,16,27,28,48,26,37,0,0,0,3,29,73,17,48,12,13,7,8,10,10,7,8,27,59,15,45,18,24,11,12,6,13,5,7,16,35,7,17,9,10,5,6,3,3,4,4,11,27,8,19,15,19,8,8,2,2,0,0,69.0,155.0,73.0,Southpaw,1976-09-30,2.91,0.42,2.34,0.66,0.76,0.53,0.69,0.7,69.0,155.0,72.0,Southpaw,1976-03-31,1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1
Tito Ortiz,Ken Shamrock,0,0,0.58,0.27,0.6,0.0,1,0,0,0,627,1,0,0,0.63,0.14,0.33,0.0,0,0,0,0,233,0,0.58,0.27,0.63,0.14,KO/TKO,John McCarthy,1,2002-11-22,74,126,12,44,155,214,48,84,3,5,0,1,19,30,1,7,58,74,23,32,1,3,0,1,64,116,8,39,8,8,3,4,2,2,1,1,24,50,5,28,24,35,7,16,26,41,0,0,15,26,1,6,4,4,0,1,0,0,0,0,2,3,0,2,11,15,1,5,6,12,0,0,75.0,205.0,74.0,Orthodox,1975-01-23,2.59,0.46,2.88,0.6,2.47,0.35,0.54,0.6,73.0,205.0,72.0,Orthodox,1964-02-11,1.47,0.46,4.30,0.39,0.94,0.6,0.44,2.5
Chuck Liddell,Renato Sobral,1,0,0.37,0.55,,0.0,0,0,0,0,3,0,1,0,0.37,0.55,,0.0,0,0,0,0,3,0,0.37,0.55,0.37,0.55,KO/TKO,Larry Landless,1,2002-11-22,13,35,10,18,13,35,10,18,0,0,0,2,13,35,10,18,13,35,10,18,0,0,0,2,12,33,2,9,1,2,0,0,0,0,8,9,12,34,10,18,0,0,0,0,1,1,0,0,12,33,2,9,1,2,0,0,0,0,8,9,12,34,10,18,0,0,0,0,1,1,0,0,74.0,205.0,76.0,Orthodox,1969-12-17,2.97,0.35,2.71,0.56,0.44,0.75,0.81,0.0,73.0,205.0,75.0,Orthodox,1975-09-07,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6
Matt Hughes,Gil Castillo,0,0,0.68,0.5,1.0,,0,0,0,0,244,0,0,0,0.68,0.5,1.0,,0,0,0,0,244,0,0.68,0.5,0.68,0.5,TKO - Doctor's Stoppage,John McCarthy,1,2002-11-22,22,32,1,2,36,46,1,2,1,1,0,0,22,32,1,2,36,46,1,2,1,1,0,0,14,24,1,2,6,6,0,0,2,2,0,0,4,8,1,2,0,0,0,0,18,24,0,0,14,24,1,2,6,6,0,0,2,2,0,0,4,8,1,2,0,0,0,0,18,24,0,0,69.0,170.0,73.0,Switch,1973-10-13,2.14,0.53,1.36,0.53,2.95,0.5,0.35,1.2,69.0,170.0,,Southpaw,1965-10-21,0.60,0.45,2.22,0.44,3.33,0.45,0.5,0.0
Carlos Newton,Pete Spratt,0,0,,0.5,1.0,,1,0,0,0,78,2,0,0,,0.5,1.0,,1,0,0,0,78,2,,0.5,,0.5,Submission,Larry Landless,1,2002-11-22,0,0,1,2,0,0,3,4,1,1,0,0,0,0,1,2,0,0,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,69.0,170.0,,Orthodox,1976-08-17,0.65,0.41,1.55,0.44,2.47,0.7,0.43,0.9,69.0,170.0,,Orthodox,1971-01-09,1.63,0.48,1.33,0.55,0.30,1.0,0.46,0.3
Robbie Lawler,Tiki Ghosn,1,0,0.45,0.5,,,0,0,0,0,2,0,1,0,0.45,0.5,,,0,0,0,0,2,0,0.45,0.5,0.45,0.5,KO/TKO,Nelson Hamilton,1,2002-11-22,5,11,7,14,5,11,7,14,0,0,0,0,5,11,7,14,5,11,7,14,0,0,0,0,5,11,0,4,0,0,1,1,0,0,6,9,4,9,7,14,0,0,0,0,1,2,0,0,5,11,0,4,0,0,1,1,0,0,6,9,4,9,7,14,0,0,0,0,1,2,0,0,71.0,170.0,74.0,Southpaw,1982-03-20,3.85,0.47,4.67,0.59,0.65,0.64,0.65,0.0,70.0,170.0,,Orthodox,1977-02-09,2.78,0.46,2.94,0.58,0.41,0.5,0.61,0.0
Andrei Arlovski,Ian Freeman,1,0,0.53,0.09,,,0,0,0,0,3,0,1,0,0.53,0.09,,,0,0,0,0,3,0,0.53,0.09,0.53,0.09,KO/TKO,Larry Landless,1,2002-11-22,14,26,1,11,14,26,1,11,0,0,0,0,14,26,1,11,14,26,1,11,0,0,0,0,7,19,0,10,0,0,0,0,7,7,1,1,10,22,1,10,4,4,0,1,0,0,0,0,7,19,0,10,0,0,0,0,7,7,1,1,10,22,1,10,4,4,0,1,0,0,0,0,75.0,240.0,77.0,Orthodox,1979-02-04,3.82,0.45,3.22,0.57,0.37,0.35,0.76,0.2,71.0,225.0,,Orthodox,1966-11-10,2.54,0.48,3.11,0.44,1.44,0.4,0.8,0.7
Vladimir Matyushenko,Travis Wiuff,0,0,0.75,,0.66,0.0,0,1,0,0,196,3,0,0,0.75,,0.66,0.0,0,1,0,0,196,3,0.75,,0.75,,KO/TKO,John McCarthy,1,2002-11-22,24,32,0,0,56,66,3,3,2,3,0,3,24,32,0,0,56,66,3,3,2,3,0,3,19,26,0,0,5,6,0,0,0,0,0,0,0,2,0,0,8,10,0,0,16,20,0,0,19,26,0,0,5,6,0,0,0,0,0,0,0,2,0,0,8,10,0,0,16,20,0,0,72.0,205.0,74.0,Orthodox,1971-01-04,1.90,0.44,1.62,0.59,3.25,0.46,0.7,0.1,75.0,205.0,,Orthodox,1978-03-15,0.48,0.3,4.03,0.41,4.84,0.57,0.44,1.2
Phillip Miller,Mark Weir,0,1,0.47,0.61,1.0,,1,3,1,1,393,163,0,0,0.64,0.33,1.0,,0,3,0,0,282,4,0.47,0.61,0.64,0.33,Submission,Nelson Hamilton,1,2002-11-22,10,21,19,31,20,33,39,57,2,2,0,0,9,14,1,3,16,22,10,13,1,1,0,0,6,17,19,31,4,4,0,0,0,0,0,0,0,0,3,6,0,0,0,0,10,21,16,25,5,10,1,3,4,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,9,14,0,0,71.0,185.0,,Orthodox,1979-02-20,1.61,0.54,1.93,0.5,3.62,0.25,1.0,0.6,74.0,185.0,,Southpaw,1967-09-19,1.54,0.56,2.50,0.38,0.80,0.5,0.25,2.4
Ricco Rodriguez,Randy Couture,0,0,0.48,0.5,0.8,1.0,1,0,0,1,665,530,0,0,0.31,0.43,0.5,1.0,0,0,0,0,78,101,0.48,0.5,0.31,0.43,KO/TKO,John McCarthy,1,2002-09-27,39,80,39,78,128,172,75,114,4,5,5,5,6,19,10,23,8,21,16,29,1,2,2,2,34,72,32,70,4,7,5,6,1,1,2,2,7,26,9,26,2,4,5,8,30,50,25,44,2,12,7,19,3,6,2,3,1,1,1,1,4,15,5,16,2,4,3,5,0,0,2,2,76.0,265.0,,Orthodox,1977-08-19,1.85,0.51,1.15,0.61,2.30,0.39,0.4,1.0,73.0,205.0,75.0,Orthodox,1963-06-22,2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5
Tim Sylvia,Wesley Correira,0,0,0.64,0.4,,0.0,0,0,0,0,3,0,0,0,0.63,0.39,,,0,0,0,0,3,0,0.64,0.4,0.63,0.39,KO/TKO,Kipp Kollar,1,2002-09-27,138,214,26,65,155,232,26,65,0,0,0,1,94,149,22,56,110,166,22,56,0,0,0,0,115,186,21,60,13,17,4,4,10,11,1,1,91,155,24,62,47,59,2,3,0,0,0,0,77,129,18,52,11,14,3,3,6,6,1,1,64,110,21,54,30,39,1,2,0,0,0,0,80.0,265.0,80.0,Orthodox,1976-03-05,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,75.0,260.0,,Orthodox,1978-11-11,2.60,0.36,8.80,0.4,0.00,0.0,0.9,0.0
BJ Penn,Matt Serra,0,0,0.61,0.16,1.0,0.05,0,1,0,0,55,258,0,0,0.7,0.09,,0.0,0,0,0,0,10,115,0.61,0.16,0.7,0.09,Decision - Unanimous,John McCarthy,1,2002-09-27,32,52,8,49,71,92,22,63,1,1,1,17,14,20,1,11,31,38,14,24,0,0,0,5,12,31,4,42,10,11,2,2,10,10,2,5,12,24,3,35,17,23,5,14,3,5,0,0,5,11,0,9,7,7,1,1,2,2,0,1,2,7,0,10,10,11,1,1,2,2,0,0,69.0,155.0,70.0,Orthodox,1978-12-13,2.76,0.48,3.20,0.56,1.19,0.55,0.74,0.5,66.0,170.0,68.0,Orthodox,1974-06-02,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
Caol Uno,Din Thomas,0,0,0.62,0.45,,0.5,0,4,0,0,553,210,0,0,0.6,0.5,,1.0,0,3,0,0,169,108,0.62,0.45,0.6,0.5,Decision - Unanimous,Larry Landless,1,2002-09-27,35,56,11,24,85,112,59,78,0,0,3,6,3,5,5,10,18,20,34,39,0,0,2,2,25,45,11,21,6,6,0,3,4,5,0,0,5,10,4,8,7,9,3,9,23,37,4,7,2,3,5,9,0,0,0,1,1,2,0,0,1,2,1,1,0,0,0,2,2,3,4,7,67.0,155.0,70.0,Southpaw,1975-05-08,1.91,0.49,1.90,0.5,1.95,0.31,0.37,0.5,69.0,155.0,,Orthodox,1976-09-28,1.85,0.37,2.60,0.59,1.38,0.52,0.76,1.2
Gan McGee,Pedro Rizzo,0,0,0.29,0.5,0.0,,0,0,0,0,11,0,0,0,0.29,0.5,0.0,,0,0,0,0,11,0,0.29,0.5,0.29,0.5,KO/TKO,John McCarthy,1,2002-09-27,17,58,14,28,17,58,14,28,0,3,0,0,17,58,14,28,17,58,14,28,0,3,0,0,13,53,4,18,3,3,0,0,1,2,10,10,17,57,14,28,0,1,0,0,0,0,0,0,13,53,4,18,3,3,0,0,1,2,10,10,17,57,14,28,0,1,0,0,0,0,0,0,82.0,265.0,,Orthodox,1976-11-20,2.20,0.29,2.31,0.59,0.65,0.25,0.83,0.0,73.0,241.0,,Orthodox,1974-05-03,1.93,0.34,3.02,0.5,0.26,0.28,0.78,0.0
Phil Baroni,Dave Menne,1,0,0.61,0.14,,,0,0,0,0,0,0,1,0,0.61,0.14,,,0,0,0,0,0,0,0.61,0.14,0.61,0.14,KO/TKO,Larry Landless,1,2002-09-27,8,13,1,7,8,13,1,7,0,0,0,0,8,13,1,7,8,13,1,7,0,0,0,0,8,13,0,6,0,0,0,0,0,0,1,1,8,13,1,7,0,0,0,0,0,0,0,0,8,13,0,6,0,0,0,0,0,0,1,1,8,13,1,7,0,0,0,0,0,0,0,0,69.0,170.0,72.0,Orthodox,1976-04-16,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,70.0,170.0,,Orthodox,1974-07-29,1.84,0.44,1.99,0.42,0.46,0.5,0.57,2.5
Matt Lindland,Ivan Salaverry,0,0,0.25,0.45,0.66,0.0,0,0,0,1,478,36,0,0,0.22,0.8,0.66,,0,0,0,0,279,0,0.25,0.45,0.22,0.8,Decision - Unanimous,Kipp Kollar,1,2002-09-27,16,63,32,70,85,145,50,89,6,9,0,2,2,9,4,5,32,42,14,15,2,3,0,0,14,58,4,37,0,2,10,11,2,3,18,22,6,43,27,62,4,8,5,8,6,12,0,0,1,8,0,0,0,0,2,2,1,1,2,3,0,2,3,4,2,2,1,1,0,5,0,0,72.0,185.0,74.0,Southpaw,1970-05-17,2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3,72.0,185.0,,Orthodox,1971-01-11,3.01,0.47,1.19,0.76,0.49,0.18,0.36,2.5
Sean Sherk,Benji Radach,0,0,0.75,0.38,0.2,,0,0,0,0,188,7,0,0,0.75,0.38,0.2,,0,0,0,0,188,7,0.75,0.38,0.75,0.38,TKO - Doctor's Stoppage,Larry Landless,1,2002-09-27,6,8,7,18,15,17,36,47,1,5,0,0,6,8,7,18,15,17,36,47,1,5,0,0,6,8,6,14,0,0,1,4,0,0,0,0,0,1,4,10,0,0,3,8,6,7,0,0,6,8,6,14,0,0,1,4,0,0,0,0,0,1,4,10,0,0,3,8,6,7,0,0,66.0,155.0,67.0,Orthodox,1973-08-05,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4,70.0,185.0,,Orthodox,1979-04-05,2.62,0.49,2.31,0.51,1.06,0.41,0.71,0.4
Matt Hughes,Carlos Newton,0,0,0.75,0.33,0.66,0.0,1,1,0,1,977,52,0,0,0.7,0.0,,0.0,0,1,0,0,254,0,0.75,0.33,0.7,0.0,KO/TKO,John McCarthy,1,2002-07-13,58,77,3,9,104,123,8,14,4,6,0,1,7,10,0,2,21,24,1,3,0,0,0,1,47,65,3,9,11,12,0,0,0,0,0,0,0,5,1,6,1,1,0,1,57,71,2,2,5,7,0,2,2,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,8,0,0,69.0,170.0,73.0,Switch,1973-10-13,2.14,0.53,1.36,0.53,2.95,0.5,0.35,1.2,69.0,170.0,,Orthodox,1976-08-17,0.65,0.41,1.55,0.44,2.47,0.7,0.43,0.9
Ian Freeman,Frank Mir,0,0,0.77,0.6,,0.2,0,3,1,0,177,15,0,0,0.77,0.6,,0.2,0,3,1,0,177,15,0.77,0.6,0.77,0.6,KO/TKO,John McCarthy,1,2002-07-13,34,44,6,10,60,70,6,10,0,0,1,5,34,44,6,10,60,70,6,10,0,0,1,5,28,38,1,4,5,5,3,4,1,1,2,2,3,6,4,8,11,11,2,2,20,27,0,0,28,38,1,4,5,5,3,4,1,1,2,2,3,6,4,8,11,11,2,2,20,27,0,0,71.0,225.0,,Orthodox,1966-11-10,2.54,0.48,3.11,0.44,1.44,0.4,0.8,0.7,75.0,264.0,79.0,Southpaw,1979-05-24,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0
Mark Weir,Eugene Jackson,1,0,0.66,0.0,,,0,0,0,0,1,0,1,0,0.66,0.0,,,0,0,0,0,1,0,0.66,0.0,0.66,0.0,KO/TKO,Larry Landless,1,2002-07-13,4,6,0,1,4,6,0,1,0,0,0,0,4,6,0,1,4,6,0,1,0,0,0,0,4,6,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,3,4,0,0,4,6,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,3,4,0,0,74.0,185.0,,Southpaw,1967-09-19,1.54,0.56,2.50,0.38,0.80,0.5,0.25,2.4,68.0,185.0,,Orthodox,1966-09-23,2.19,0.33,3.44,0.32,1.91,0.71,0.16,2.3
